{'time_stamp': 1591342055.571862, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007d017d2f798000'}
{'time_stamp': 1591342055.571297, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '357dcb7c037d0009'}
{'time_stamp': 1591342055.582427, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '037d047dbd6d8000'}
{'time_stamp': 1591342055.580736, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'a30d7d96f27ccc09'}
{'time_stamp': 1591342055.582992, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7cf97cfe7c4009'}
{'time_stamp': 1591342055.581858, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007d017d2f798000'}
{'time_stamp': 1591342055.58129, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '357dcb7ce57c0009'}
{'time_stamp': 1591342055.592434, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '037d047dbe6d8000'}
{'time_stamp': 1591342055.590734, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '8f0d7d8bf27ccc09'}
{'time_stamp': 1591342055.593003, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cf87cff7c4009'}
{'time_stamp': 1591342055.591861, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007d017d2f798000'}
{'time_stamp': 1591342055.591292, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '347dcb7ce27c0009'}
