{'time_stamp': 1595816493.443355, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d067d017d4002'}
{'time_stamp': 1595816493.442798, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.896099, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '15e863415ffdf980'}
{'time_stamp': 1595816512.894974, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '1fe893401f58f27e'}
{'time_stamp': 1595816510.682892, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.453341, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d057dff7c4002'}
{'time_stamp': 1595816493.452788, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.906174, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'fbe723415ffaf980'}
{'time_stamp': 1595816512.905046, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '1fe88b409f57f27e'}
{'time_stamp': 1595816510.693011, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.463309, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d017dfe7c4002'}
{'time_stamp': 1595816493.462748, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.916263, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f5e7c3415ffaf980'}
{'time_stamp': 1595816512.915113, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '20e883405f57f27e'}
{'time_stamp': 1595816510.702804, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.473388, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d047d007d4002'}
{'time_stamp': 1595816493.472833, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.92616, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '0de8c3409ffef980'}
{'time_stamp': 1595816512.925019, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '23e88b405f56f27e'}
{'time_stamp': 1595816510.713032, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.48323, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d037d007d4002'}
{'time_stamp': 1595816493.482682, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.936164, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '2de8bb409f04fa00'}
{'time_stamp': 1595816512.935045, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '23e87b40df56f27e'}
{'time_stamp': 1595816510.722971, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.493326, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d017dfe7c4002'}
{'time_stamp': 1595816493.492766, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d027d2c79bf02'}
{'time_stamp': 1595816512.946236, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '14e823411f03fa80'}
{'time_stamp': 1595816512.945095, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '20e87b405f58f27e'}
{'time_stamp': 1595816510.732974, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b21d7d61f17c0002'}
{'time_stamp': 1595816493.503314, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d037dff7c4002'}
